seller,make,model,year,capacity,fuel,horse power,transmission,drive train,body type,doors,seats,color,state,price,serviced at aso,first owner,damaged
Private,Chrysler,Town & Country,2015,3605,Petrol,283,Automatic,FWD,Minivan,5.0,7.0,Other,Used,43900,False,False,False
Private,Seat,Alhambra,2009,1984,Petrol,115,Manual,FWD,Minivan,5.0,5.0,Other,Used,20900,True,False,False
Private,Audi,A5,2012,1798,Petrol,170,Manual,,Sedan,5.0,,Brown,Used,55800,False,False,False
Private,Mercedes-Benz,Klasa C,2002,2799,Petrol,197,Automatic,RWD,Coupe,5.0,4.0,Blue,Used,11700,True,False,False
Dealer,Škoda,Superb,2012,1968,Diesel,170,Manual,4WD (automatic),station wagon,5.0,5.0,Blue,Used,47000,False,False,False
Private,Citroën,C5,2010,2992,Diesel,241,Automatic,FWD,station wagon,4.0,5.0,Black,Used,32900,False,False,False
Dealer,Škoda,Yeti,2009,1197,Petrol,105,Manual,,SUV,5.0,5.0,Silver,Used,24990,True,False,False
Private,Mitsubishi,Pajero,2014,3200,Diesel,200,Automatic,4WD (automatic),SUV,5.0,,White,Used,105000,True,True,False
Private,BMW,Seria 5,2014,2993,Diesel,258,Automatic,4WD (automatic),Sedan,4.0,5.0,Other,Used,99700,True,False,False
Private,Nissan,Qashqai,2009,1997,Petrol+LPG,140,Manual,FWD,SUV,5.0,5.0,Beige,Used,29000,False,False,False
Private,Dodge,Journey,2019,3604,Petrol+LPG,287,Automatic,,SUV,5.0,7.0,Other,Used,89900,True,False,False
Private,Ford,Focus,2007,1596,Petrol,100,Manual,,Compact,3.0,5.0,Other,Used,11000,False,False,False
Private,Škoda,Fabia,2007,1198,Petrol+LPG,64,Manual,,station wagon,5.0,5.0,Claret,Used,10900,False,False,False
Private,BMW,Seria 3,2016,1995,Diesel,150,Manual,,Sedan,4.0,5.0,Gray,Used,62000,False,False,False
Dealer,BMW,X1,2018,2000,Diesel,231,Automatic,4WD (permanent),SUV,5.0,5.0,Blue,Used,129150,True,True,False
Dealer,Kia,Optima,2018,1591,Petrol,180,Automatic,FWD,Sedan,5.0,5.0,Black,Used,91000,True,True,False
Private,Chrysler,Town & Country,2014,3605,Petrol,283,Automatic,,Minivan,5.0,7.0,Blue,Used,45900,True,False,False
Private,Volkswagen,Transporter,2003,1897,Diesel,78,Manual,FWD,Minivan,4.0,3.0,White,Used,17900,False,False,False
Dealer,Renault,Clio,2010,1149,Petrol,75,Manual,FWD,City cars,5.0,5.0,Gray,Used,16999,False,False,False
Private,Hummer,H2,2003,5967,Petrol,325,Automatic,4WD (permanent),SUV,5.0,5.0,Yellow,Used,84700,False,False,False
Private,Mercedes-Benz,Klasa S,2005,5439,Petrol+LPG,500,Automatic,RWD,Sedan,4.0,5.0,Black,Used,59000,False,False,False
Private,Renault,Kangoo,2015,1461,Diesel,110,Manual,FWD,station wagon,5.0,7.0,Brown,Used,39800,True,False,False
Dealer,Mitsubishi,Outlander,2020,2360,Petrol,170,Automatic,FWD,SUV,5.0,7.0,Gray,Used,49900,False,False,True
Private,Seat,Leon,2012,1968,Diesel,140,Manual,FWD,Compact,5.0,5.0,White,Used,28200,False,False,False
Private,Ford,Kuga,2008,1997,Diesel,136,Manual,FWD,SUV,5.0,5.0,Black,Used,29500,False,False,False
Private,Volkswagen,Golf,2017,1598,Diesel,115,Manual,FWD,Compact,5.0,5.0,Red,Used,50800,True,True,False
Dealer,Nissan,Juke,2013,1461,Diesel,110,Manual,FWD,SUV,5.0,5.0,Red,Used,34800,False,False,False
Private,Audi,A4,2008,1968,Diesel,140,Manual,FWD,Sedan,4.0,5.0,Gray,Used,34400,False,True,False
Private,Renault,Talisman,2016,1598,Diesel,160,Automatic,,station wagon,5.0,5.0,Blue,Used,55000,True,False,False
Private,Smart,Fortwo,2012,999,Petrol,71,Automatic,RWD,Small cars,3.0,2.0,Silver,Used,26500,True,False,False
Private,Hyundai,Tucson,2007,1975,Petrol,141,Manual,FWD,SUV,5.0,5.0,Black,Used,21900,False,False,False
Private,Opel,Mokka,2015,1598,Diesel,136,Automatic,FWD,SUV,5.0,5.0,Silver,Used,26500,True,False,True
Private,Volkswagen,Golf,2013,1598,Diesel,105,Manual,FWD,station wagon,5.0,5.0,Gray,Used,27900,True,False,False
Private,Opel,Zafira,2006,1598,Petrol+LPG,105,Manual,FWD,Minivan,5.0,6.0,Gray,Used,11400,False,False,False
Dealer,Nissan,Qashqai,2010,1997,Petrol,141,Manual,FWD,SUV,5.0,5.0,Black,Used,37600,False,False,False
Private,Opel,Astra,2008,1796,Petrol,140,Manual,FWD,Cabriolet,2.0,4.0,Silver,Used,21900,False,False,False
Private,Seat,Altea,2007,1968,Diesel,140,Automatic,,Minivan,5.0,5.0,Black,Used,13900,False,False,False
Private,Citroën,C1,2019,998,Petrol,72,Manual,FWD,Small cars,3.0,4.0,Black,Used,29500,True,False,False
Private,Ford,S-Max,2007,1997,Diesel,130,Manual,FWD,station wagon,5.0,5.0,Blue,Used,21800,False,False,False
Private,Mercedes-Benz,CLK,2007,2148,Diesel,150,Manual,RWD,Coupe,2.0,5.0,Silver,Used,24900,True,False,False
Private,Audi,Q3,2020,1984,Petrol,230,Automatic,4WD (permanent),SUV,5.0,5.0,Gray,Used,159900,True,False,False
Dealer,Škoda,Octavia,2015,1598,Diesel,110,Manual,FWD,station wagon,5.0,5.0,White,Used,49900,False,False,False
Dealer,Toyota,Aygo,2015,998,Petrol,69,Manual,FWD,Small cars,5.0,4.0,Red,Used,27900,False,False,False
Dealer,Hyundai,Terracan,2005,2902,Diesel,163,Automatic,4WD (manual),SUV,5.0,5.0,Black,Used,24900,False,False,False
Private,Fiat,Punto Evo,2011,1248,Diesel,85,Manual,FWD,City cars,3.0,5.0,Black,Used,12500,False,False,False
Dealer,Citroën,C5,2009,1997,Diesel,140,Manual,FWD,station wagon,5.0,5.0,Black,Used,23900,True,True,False
Dealer,Nissan,Qashqai,2016,1197,Petrol,115,Automatic,FWD,SUV,5.0,5.0,Red,Used,78000,True,True,False
Private,BMW,Seria 3,2008,1995,Diesel,143,Manual,RWD,Sedan,5.0,5.0,Gray,Used,19900,False,False,False
Private,Ford,Fiesta,2010,1560,Diesel,90,Manual,FWD,City cars,5.0,5.0,Black,Used,17900,True,False,False
Private,Peugeot,Boxer,2007,2198,Diesel,101,Manual,FWD,Sedan,4.0,3.0,White,Used,45000,False,False,False
Private,BMW,X3,2005,1995,Diesel,150,Manual,4WD (automatic),SUV,5.0,5.0,Silver,Used,21500,False,False,False
Private,Toyota,Auris,2014,1798,Hybrid,99,Automatic,FWD,Compact,5.0,5.0,Brown,Used,52700,True,False,False
Private,Volkswagen,Golf,2002,1896,Diesel,100,Manual,FWD,Compact,3.0,5.0,Green,Used,2800,False,False,True
Private,Opel,Corsa,2007,1229,Petrol,80,Manual,FWD,City cars,5.0,5.0,Blue,Used,13700,False,False,False
Dealer,Audi,A3,2008,1896,Diesel,105,Manual,,Cabriolet,3.0,4.0,White,Used,27900,False,False,False
Dealer,Volkswagen,Passat,2018,1984,Petrol,220,Automatic,FWD,Sedan,4.0,5.0,Black,Used,99899,True,True,False
Private,Chrysler,Town & Country,2015,3605,Petrol,283,Automatic,FWD,Minivan,5.0,7.0,Other,Used,43900,False,False,False
Private,Seat,Alhambra,2009,1984,Petrol,115,Manual,FWD,Minivan,5.0,5.0,Other,Used,20900,True,False,False
Private,Audi,A5,2012,1798,Petrol,170,Manual,,Sedan,5.0,,Brown,Used,55800,False,False,False
Private,Mercedes-Benz,Klasa C,2002,2799,Petrol,197,Automatic,RWD,Coupe,5.0,4.0,Blue,Used,11700,True,False,False
Dealer,Škoda,Superb,2012,1968,Diesel,170,Manual,4WD (automatic),station wagon,5.0,5.0,Blue,Used,47000,False,False,False
Dealer,Škoda,Yeti,2009,1197,Petrol,105,Manual,,SUV,5.0,5.0,Silver,Used,24990,True,False,False
